,title,href,salary_min,salary_max,link
0,Технолог-разработчик ЛКМ / Лаборант-разработчик ЛКМ,https://www.superjob.ru/vakansii/tehnolog-razrabotchik-lkm-36893600.html,,,https://russia.superjob.ru/
1,Программист PHP на Bitrix24,https://www.superjob.ru/vakansii/programmist-php-na-bitrix24-39482180.html,80000.0,90000.0,https://russia.superjob.ru/
2,Разработчик C/C++,https://www.superjob.ru/vakansii/razrabotchik-c-39461730.html,,,https://russia.superjob.ru/
3,Java-разработчик (Трайб Розничное взыскание),https://www.superjob.ru/vakansii/java-razrabotchik-37276678.html,,,https://russia.superjob.ru/
4,Программист-стажер 1С,https://www.superjob.ru/vakansii/programmist-stazher-1s-38713717.html,,80000.0,https://russia.superjob.ru/
5,Программист Delphi / SQL,https://www.superjob.ru/vakansii/programmist-delphi-39461402.html,,200000.0,https://russia.superjob.ru/
6,"Инженер-программист (С, С++, C#)",https://www.superjob.ru/vakansii/inzhener-programmist-39461520.html,200000.0,,https://russia.superjob.ru/
7,Frontend Developer (Flame Team),https://www.superjob.ru/vakansii/frontend-developer-39461592.html,180000.0,,https://russia.superjob.ru/
8,"Web-developer / Веб-программист (ASP.NET, MVC, C#)",https://www.superjob.ru/vakansii/web-developer-39461274.html,100000.0,,https://russia.superjob.ru/
9,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-39540442.html,150000.0,,https://russia.superjob.ru/
10,Программист C++,https://www.superjob.ru/vakansii/programmist-c-39176708.html,,240000.0,https://russia.superjob.ru/
11,Инженер-программист станков с ЧПУ (деревообработка),https://www.superjob.ru/vakansii/inzhener-programmist-stankov-s-chpu-39481839.html,70000.0,70000.0,https://russia.superjob.ru/
12,Разработчик SQL,https://www.superjob.ru/vakansii/razrabotchik-sql-38284142.html,140000.0,150000.0,https://russia.superjob.ru/
13,Программист C++,https://www.superjob.ru/vakansii/programmist-c-39698730.html,70000.0,80000.0,https://russia.superjob.ru/
14,Программист SQL,https://www.superjob.ru/vakansii/programmist-sql-39712944.html,,,https://russia.superjob.ru/
15,Разработчик на Android,https://www.superjob.ru/vakansii/razrabotchik-na-android-39540154.html,,350000.0,https://russia.superjob.ru/
16,Программист С #,https://www.superjob.ru/vakansii/programmist-s-38617618.html,120000.0,150000.0,https://russia.superjob.ru/
17,Разработчик (программист) баз данных (DBA),https://www.superjob.ru/vakansii/razrabotchik-39366887.html,,,https://russia.superjob.ru/
18,Верстальщик / Frontend разработчик,https://www.superjob.ru/vakansii/verstalschik-39387090.html,120000.0,,https://russia.superjob.ru/
19,Программист 1C (неполная занятость),https://www.superjob.ru/vakansii/programmist-1c-39854843.html,90000.0,100000.0,https://russia.superjob.ru/
